,product_placing,product_names,product_ratings,no_of_reviews
0,#1,"Ariana Grande Cloud Eau De Parfum For Women, 1.0 Ounce",4.6 out of 5 stars,20980
1,#2,2000 - Al-Rehab Natural Perfume Spray- 35 ml (1.15 fl. oz),4.3 out of 5 stars,1734
2,#3,"Pacifica Beauty,French Lilac Clean Fragrance Spray Perfume, Made with Natural & Essential Oils, Fresh Lilac Floral Scent, Vegan + Cruelty Free,Phthalate-Free,Paraben-Free 1 Fl Oz( Packaging may vary )",4.3 out of 5 stars,11600
3,#4,"White Diamonds by Elizabeth Taylor, Eau De Toilette Spray, 0.5-Ounce",4.7 out of 5 stars,20093
4,#5,Vera Wang Princess By Vera Wang For Women. Eau De Toilette Spray 1-Ounce,4.5 out of 5 stars,42275
5,#6,MIRIS No.33636 | Impression of Acqua di Gio Absolu | Women Eau de Parfum | 3.4 Fl Oz / 100 ml,3.5 out of 5 stars,1027
6,#7,Quality Fragrance Oils' Cotton Candy for Women (10ml Roll On),4.0 out of 5 stars,in Women's Eau de Parfum
7,#8,"Ed Hardy Women's Perfume Fragrance by Christian Audigier, Eau De Parfum, 3.4 Fl Oz",4.7 out of 5 stars,in Women's Eau de Parfum
8,#9,"Ariana Grande Ari Eau de Parfum Spray, 1.0 Fluid Ounce",4.7 out of 5 stars,in Women's Eau de Parfum
9,#10,Perfect Scents Fragrances | Inspired by Thierry Mugler's Angel | Women’s Eau de Toilette | Vegan and Paraben Free | 2.5 Fluid Ounces,4.0 out of 5 stars,11908
10,#11,Versace Versace Eros Flame Men 5 ml EDP Spash (Mini),4.6 out of 5 stars,12062
11,#12,Oud For Glory (Bade'e Al Oud) EDP Perfume By Lattafa: 3.4oz High End Special Premium Niche,4.4 out of 5 stars,13681
12,#13,"Amber Perfume Oil Roll-On - Alcohol Free Perfumes for Women and Men by Nemat Fragrances, 10 ml / 0.33 fl Oz",4.3 out of 5 stars,7920
13,#14,"SWISS ARABIAN Layali Rouge For Women - Floral, Fruity Gourmand Concentrated Perfume Oil - Luxury Fragrance From Dubai - Long Lasting Artisan Perfume With Notes Of Papaya, Peach, And Coconut - 0.5 Oz",4.3 out of 5 stars,10005
14,#15,"SWISS ARABIAN Shaghaf Oud for Unisex - Oud Gourmand Eau De Parfum Spray - Luxury Fragrance From Dubai - Long Lasting Artisan Perfume With Notes Of Saffron, Rose, Praline, Agarwood And Vanilla- 3.4 oz",4.1 out of 5 stars,1222
15,#16,Pacifica French Lilac Perfume Women 0.33 fl oz 10 ml Perfume Roll-On (Mini),4.3 out of 5 stars,5227
16,#17,Happy Heart By Clinique For Women. Parfum Spray 1 OZ,4.8 out of 5 stars,753
17,#18,"SWISS ARABIAN Layali - Luxury Products From Dubai - Long Lasting And Addictive Personal Perfume Oil Fragrance - A Seductive, High Quality Signature Aroma - The Luxurious Scent Of Arabia - 0.5 Oz",4.3 out of 5 stars,4114
18,#19,"Happy By Clinique For Women, EDP, 3.4 Fl Oz",4.7 out of 5 stars,5538
19,#20,"Versace Eros for Men Eau de Parfum Spray, 3.4 Ounce (New Launch 2021)",4.7 out of 5 stars,4010
20,#21,"Women's Perfume, Fragrance by Paul Sebastian, Day or Night Soft Floral Scent, DESIGN, 3.4 Fl Oz",4.6 out of 5 stars,1080
21,#22,Victoria's Secret Bombshell 1.7oz Eau de Parfum,4.6 out of 5 stars,10919
22,#23,Prada Candy Eau De Parfum Spray for Women .33 oz,4.7 out of 5 stars,1321
23,#24,"Lancôme La Vie Est Belle L'Eau de Parfum Spray, 3.4 FL OZ",4.8 out of 5 stars,7687
24,#25,Chelsea Man - Al-Rehab Eau De Spray Perfume (50 ml/1.65 fl. oz),4.4 out of 5 stars,1876
25,#26,"Clinique Happy Eau de Parfum Spray for Women, 3.4 Fluid Ounce",4.8 out of 5 stars,8335
26,#27,"Armaf Club De Nuit Sillage For Unisex Eau De Parfum Spray, 3.6 Ounce",4.3 out of 5 stars,5265
27,#28,Pleasures By Estee Lauder For Women. Eau De Parfum Spray 3.4 Ounces,4.7 out of 5 stars,552
28,#29,Pure Instinct Pheromone Perfume Oil for Her - Roll on 10.2 ml | 0.34 Fl. Oz,4.0 out of 5 stars,2419
29,#30,Haramain Amber Oud Gold Edition Eau De Parfum 2.0 oz,4.6 out of 5 stars,2673
30,#31,"Versace Eros Pour Femme Women's Edp Splash, 0.17 Ounce",4.4 out of 5 stars,4038
31,#32,Lavanila - The Healthy Fragrance Clean and Natural Pure Vanilla Perfume for Women 0.32 oz Roller,4.2 out of 5 stars,245
32,#33,Beautiful By Estee Lauder For Women. Eau De Parfum Spray 1 Fl Oz,4.7 out of 5 stars,2648
33,#34,1 X Choco Musk - 6ml (.2 oz) Perfume Oil by Al-Rehab (Crown Perfumes),4.4 out of 5 stars,8378
34,#35,Victoria's Secret Bare Eau de Parfum Rollerball,4.6 out of 5 stars,2200
35,#36,"Oscar De La Renta Esprit D'Oscar Eau de Parfum EDP Spray Perfume for Women, 3.4 fl. oz.",4.4 out of 5 stars,10384
36,#37,"Avon Far Away Eau de Parfum Spray for Women, 1.7 Fluid Ounce",4.6 out of 5 stars,307
37,#38,Carolina Herrera Good Girl Eau De Parfum Legere ~ Travel Size Splash Top ~ 7 ml/ 0.24 fl oz,4.7 out of 5 stars,721
38,#39,"SWISS ARABIAN Amaali for Women - Woody, Fruity Gourmand Concentrated Perfume Oil - Luxury Fragrance From Dubai - Long Lasting Artisan Perfume With Notes Of Pineapple, Jasmine, Rose, Vanilla - 0.5 Oz",4.2 out of 5 stars,1292
39,#40,"Fivexing 4Pcs Separate perfume bottles, mini refillable perfume atomizer bottles, refill pump boxes for travel and outings, and perfume dispensers (Black)",4.2 out of 5 stars,2312
40,#41,"Vanilla Musk Perfume Oil Roll-On - Vanilla Fragrance Oil Roller (No Alcohol) Perfumes for Women and Men by Nemat Fragrances, 10 ml / 0.33 fl Oz",4.5 out of 5 stars,13014
41,#42,Armaf Club De Nuit EDP Spray Women 3.6 oz,4.5 out of 5 stars,1806
42,#43,"SWISS ARABIAN Yulali - Luxury Products From Dubai - Long Lasting And Addictive Personal Perfume Oil Fragrance - A Seductive, High Quality Signature Aroma - The Luxurious Scent Of Arabia - 0.5 Oz",4.4 out of 5 stars,159
43,#44,"Ariana Grande Sweet Like Candy Eau de Parfum Spray, 1.0 Ounce, 1 Fl Oz (ARG2LR16110)",4.7 out of 5 stars,1902
44,#45,"Lancome Lancome La Vie Est Belle Perfume Eau De Parfum 30ml 1 Oz Sealed Authentic, 1.0 Oz",4.7 out of 5 stars,3579
45,#46,CA Perfume Impression of A. Provocateur Aphrodisiaque For Women Replica Fragrance Body Oil Dupes Alcohol-Free Essential Aromatherapy Sample Travel Size Concentrated Long Lasting Roll-On 0.3 Fl Oz/10ml,4.0 out of 5 stars,857
46,#47,Chânél Coco Mademoiselle For Women Eau de Parfum Spray 3.4 Fl. OZ. / 100ML.,4.6 out of 5 stars,11243
47,#48,Armaf Club De Nuit EDP - 100 Ml(for Women),4.4 out of 5 stars,1164
48,#49,"Vera Wang Eau de Parfum for Women - Delicate, Floral Scent - Notes of Iris, Lillies, & Sandalwood - Feminine & Subtle - 3.4 Fl Oz",4.6 out of 5 stars,2471
49,#50,Gucci Bloom By For Women Eau De Parfum Spray 1 Fl Oz,4.6 out of 5 stars,834
