,product_title,product_price,product_rating,no_of_reviews,get_availability
0,Sony PlayStation 4 Camera,,4.7 out of 5 stars,"6,585 ratings",
1,PlayStation 4 500GB Console (Renewed),,4.2 out of 5 stars,188 ratings,Only 8 left in stock - order soon.
2,PlayStation 4 Slim 1TB Console (Renewed),,4.4 out of 5 stars,783 ratings,Only 8 left in stock - order soon.
3,Case Club Waterproof Playstation 4 Portable Gaming Station with Built-in Monitor & Storage for PS4 Controllers & Games,,4.4 out of 5 stars,431 ratings,In Stock.
4,"BlueFire Stereo Gaming Headset for Playstation 4 PS4 PS5, Over-Ear Headphones with Mic and LED Lights for Xbox One, PC, Laptop (Red)",,4.4 out of 5 stars,"8,118 ratings",In Stock.
5,"BlueFire Stereo Gaming Headset for Playstation 4 PS4 PS5, Over-Ear Headphones with Mic and LED Lights for Xbox One, PC, Laptop(Green)",,4.4 out of 5 stars,"8,118 ratings",In Stock.
6,"PS4 Controller Charger KINGTOP DualShock 4 Controller Charging Station Dock,Playstation 4 Charging Stand for Sony Playstation4 / PS4 / PS4 Slim / PS4 Pro Controller [Upgrade 2nd Generation]",,4.6 out of 5 stars,272 ratings,In Stock.
7,Sony Playstation PS4 1TB Black Console,,4.6 out of 5 stars,697 ratings,
8,PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],$449.99,4.7 out of 5 stars,"2,748 ratings",Only 4 left in stock - order soon.
9,"Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)",,4.4 out of 5 stars,280 ratings,In Stock.
10,Sony Playstation 4 Slim Video Game Console 500GB Jet Black PS4,$359.99,4.5 out of 5 stars,199 ratings,Only 1 left in stock - order soon.
11,"Flagship Newest Play Station 4 1TB HDD Only on Playstation PS4 Console Slim Bundle with Three Games: The Last of Us, God of War, Horizon Zero Dawn 1TB HDD Dualshock 4 Wireless Controller -Jet Black",,4.8 out of 5 stars,149 ratings,
12,"PISOBIN Wireless Controller Compatible with Playstation 4/Slim/Pro, Gaming Controller with Dual Vibration/Touch Pad/6-Axis Gyro Sensor/Turbo Function (Black)",,Previous page of related Sponsored Products,,Only 7 left in stock - order soon.
13,PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"14,906 ratings",
14,Newest Sony Playstation 4 Slim 1TB SSD Console - Marvel's Spider-Man PS4 Bundle with DualShock-4 Wireless Controller,$449.50,4.5 out of 5 stars,202 ratings,
15,"Wireless Controller for PS-4, Dual Vibration Shock Game Remote Control Controllers Gamepad with Audio Function Touch Pad and Six-axis Motion Compatible with PS-4/PS-4 Pro/Slim",,4.4 out of 5 stars,35 ratings,Only 16 left in stock - order soon.
16,PlayStation 5 Console,,4.9 out of 5 stars,"5,292 ratings",Available by invitation
17,"Wireless Controller for PS4, Tiiroy Gamepad Remote Joystick for Playstation 4/Pro/Slim Game Console with 900mAh Rechargeable Battery, Double Vibration and Audio Function (Black)",,Previous page of related Sponsored Products,,In Stock.
18,DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,,4.6 out of 5 stars,"135,000 ratings",
19,"AUGEX 2 Pack Controllers Work with PS4 Controller, Game Control Remote Compatible with Playstation 4 Controller with Joystick, Wireless Pa4 Controller Gamepad for Men/Family (Diamond Blue and Red)",,4.2 out of 5 stars,532 ratings,In Stock.
20,"2 Pack P-4 Controller Blue and Berry Blue, Wiv77 Control P-4 Remote Wireless Compatible with Playstation 4, Controller with Headphone Jack/Long Battery Life, Pa4 Controller for Kids/Men/Women",,4.4 out of 5 stars,5 ratings,In Stock.
21,DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,$57.99,4.6 out of 5 stars,"135,000 ratings",Only 10 left in stock - order soon.
22,Wireless Controller Compatible with PS-4/Pro/Slim Game Console with Enhanced Dual Vibration/Analog Sticks/6-Axis Motion Sensor/Rechargeable Orange,,Previous page of related Sponsored Products,,In Stock.
23,"Donop Wireless Controller for PS4 / Slim/Pro, Compatible with PS4 Console, with Charging Cable (Green Camouflage)",,4.0 out of 5 stars,206 ratings,In Stock.
24,BCB Controller Customised for PS4 Controller Wireless. Original Playstation 4 Controller Compatible with Custom PS4 Remote Control Console. Customized with Permanent Hydro-dip Printing,,Previous page of related Sponsored Products,,Only 5 left in stock - order soon.
25,PlayStation 4 Slim 1TB Console (Renewed),,4.4 out of 5 stars,783 ratings,Only 8 left in stock - order soon.
26,PlayStation 4 500GB Console (Renewed),,4.2 out of 5 stars,188 ratings,Only 8 left in stock - order soon.
27,Sony Playstation PS4 1TB Black Console,,4.6 out of 5 stars,697 ratings,
28,"Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)",,4.4 out of 5 stars,280 ratings,In Stock.
29,PlayStation 4 Slim 1TB Console - Marvel's Spider-Man Bundle [Discontinued],$449.99,4.7 out of 5 stars,"2,748 ratings",Only 4 left in stock - order soon.
